,clim_gamma,clim_c1,clim_c2,clim_kappa1,clim_kappa2,clim_epsilon,clim_sigma_eta,clim_sigma_xi,clim_F_4xCO2,cc_r0,cc_rU,cc_rT,cc_rA,ari_BC,ari_OC,ari_Sulfur,ari_NOx,ari_VOC,ari_NH3,ari_CH4,ari_N2O,ari_Equivalent effective stratospheric chlorine,aci_shape_so2,aci_shape_bc,aci_shape_oc,aci_beta,o3_CH4,o3_N2O,o3_Equivalent effective stratospheric chlorine,o3_CO,o3_VOC,o3_NOx,fscale_CH4,fscale_N2O,fscale_minorGHG,fscale_Stratospheric water vapour,fscale_Land use,fscale_Volcanic,fscale_solar_amplitude,fscale_Light absorbing particles on snow and ice,fscale_CO2,cc_co2_concentration_1750,seed
5219,1.2859486600473382,7.9668497623071,68.19580694599948,1.3970604003110012,0.7386874317251734,1.361131593087252,0.3533351810368481,0.2288053820857385,7.355597489245189,31.88955838134114,0.0041499325243151,4.952855210144665,-0.0002756299858725,0.0230163481037326,-0.0020378801477818,-0.0005549741394459,-4.74088197278326e-05,-3.681488234416972e-06,-0.0005069173174627,-2.130485144644917e-06,-4.345181905794141e-05,-7.440020147877676e-06,0.0061539100141602,0.090805073272105,5.651960633453352e-11,-1.7743994165747328,0.0002427798142198,0.0013996927367236,-8.787357631299055e-06,0.0001893721758263,-7.388676465540039e-05,0.0007560170624902,1.1044987686281362,1.0683001293376737,0.9795532428463042,2.3187052167273627,0.7204331012433335,0.9682817299130734,1.6953351157904557,0.998499840429654,0.9537845175032148,278.0340672846773,3438144
5698,1.5440900832410789,7.616759368173888,67.15584920398905,1.407347737647053,0.7094923620326608,1.357630258211848,0.5423509777005098,0.2172710547008557,7.270945750755882,33.330963783713514,0.0025272029040601,1.345868291556445,0.0025950930088962,0.0143446854366994,-0.0017756344520785,-0.0045334000622268,-9.806316971859768e-05,-1.756385676776689e-05,-0.0005596014866606,-2.8000135973568126e-06,-6.033402020489801e-05,-7.397563249739462e-06,0.0240816852164186,5.548973462067844e-06,1.153942427133367e-16,-0.5036644740464887,0.0002694515790946,0.0013558294691161,-4.208492180210379e-05,0.0002830390426593,0.0001471092693131,0.0023223843524061,1.0465522664269191,1.025540369420906,0.8963879388284735,0.4680430991859029,0.8796141029457315,0.7000555803669869,0.9073954128156176,1.3690778290347612,0.9480117605966498,279.66342878044924,3629265
11593,1.3421468557295455,7.803499381021608,63.08171618423809,1.0687405050760457,0.7563439120621376,1.1446548298826522,0.1550452796613994,0.5038293089502978,7.797863826033876,37.13703298150928,-0.0014112896938918,1.1353180127126865,0.0037327396549656,0.0206017007073987,-0.0028601971518135,-0.001186169013986,-8.082537294694463e-05,-3.033644031235108e-05,-0.0005770979176476,-2.289768733924343e-06,-2.837204527593876e-05,-7.337734990207255e-06,0.0206512301919115,11.13269604805977,9.929498232741908e-12,-0.8697342992831718,0.0002253199134065,0.0013212646106343,-0.0001320519966339,4.10620137680642e-05,0.0002303251961975,0.0005124845505849,0.8818450419620902,0.975641539548038,1.0543902598859465,-0.5612458105998701,0.7789915517222596,0.9631751905026116,1.4143960887343934,1.9981652410570856,0.980701437639618,278.3732084954048,5981370
15342,5.01242901452435,8.396955817046056,81.8256712707205,1.0465165611882143,0.7060352543290245,0.8582418442762608,0.6187485303525838,0.6728787878974709,6.814762567846814,33.80846169883391,0.0017350346778201,0.2446658718337157,0.0046887290180328,0.0166768413115203,-0.0047569613848555,-0.0022948923775929,-7.164324226605424e-05,-3.054075610571935e-05,-0.0005546310977424,-2.5448027686137284e-06,-4.946053770839077e-05,-7.958879331076583e-06,0.0206218516086611,43.43638699722046,6.267742160573941e-17,-0.8428202039484147,0.0002762759990057,0.0016201496134126,-0.0001737449803938,0.0001498924535391,7.538878792251931e-05,0.0012374337148264,0.9605201216160112,0.8840554440801538,0.8826820601125245,1.0113177480496156,0.7412478561326471,0.9373134631444232,1.2102277107772008,1.192100121152245,0.919817007060474,279.2147771639758,7477221
19182,1.2835932200510425,8.522933694835576,65.34980579515268,1.0552324566529503,0.691380085534677,1.3256170099151097,0.0675006348771635,0.6573087068686654,7.229441721479484,30.77342274736577,0.0065909478124983,0.6087743627039921,0.0022766205347194,0.0141841483277301,-0.0045348380283844,-0.0025683441112353,-3.163679371978223e-05,-1.9524314082825064e-06,-0.0004784014194045,-2.013112718859127e-06,-3.9413466168729e-05,-6.782466670228472e-06,0.0749190105938944,3.8282590996817086e-43,4.618303367923841,-2.09358510958933,0.0002768614079375,0.0014143804326834,3.885626563153842e-05,7.205337461733765e-05,-0.0001415567313392,0.00119750023141,0.9849985451318206,1.067272002891421,0.990235637970168,1.501323186638985,1.421939481929556,0.8681098474350478,1.0245224087418907,0.939614941677082,0.9458348280389944,278.680467400037,9009381
24222,2.802855433518148,7.032042856270746,64.41593706222352,1.334488382469054,0.7723838990331737,1.0190707632312834,0.4231582036047012,0.2885230358197807,5.450200378676551,30.81146604510953,0.0059573763571877,3.669173776298599,0.0008250007307121,0.008777894042266,-0.0055821268502005,-0.0017118749248781,-7.77160672709904e-05,-8.071605275646157e-06,-0.0004958582134677,-3.3342339392132102e-06,-3.5314193851481844e-05,-7.1778248331867e-06,0.0086339138921213,6.046961999045199e-17,0.0477358490650944,-1.1118918722940767,0.0002319733952176,0.0018773259007051,4.342843081409908e-06,4.233933900635946e-05,-0.0002323820811938,0.0002071534079006,1.017097430090257,1.0243678566587662,1.0516143878318998,1.542539201356171,0.2406992037160561,1.1234709029752927,0.7021719314771989,1.333432562160487,0.8375675779434788,276.403344949847,11020341
24595,2.793512752782819,5.483198863881691,69.28731797667852,1.412294837304856,0.7220856749249124,0.9707847979968688,0.3570327892150736,0.3486607063650014,5.30348982686405,31.381939982362702,0.0052964540806233,2.979999914974959,0.0006644343183144,0.0250217318192982,-0.0047956022803274,-0.0037622607671135,-6.784180984171851e-05,-1.3636063870093648e-05,-0.0005201084747719,-1.8152088771171969e-06,-1.9956272532088263e-05,-7.002539174933101e-06,0.0080260874904566,78.93136486823411,7.671922785810655e-11,-0.7703434633826157,0.0002608535880143,0.0012144740765062,6.924326714911053e-05,0.0001602237138255,-3.714862706104138e-05,0.0017538747542302,1.0290597776382755,0.911234583810642,0.9735663794478268,1.8611431763935216,1.349998062080776,0.838933647581616,0.8526196668971366,0.9897101393214504,0.829010764264357,279.4186338750483,11169168
28086,1.6726179991830905,8.095280623402632,75.64470279177664,1.232524428191922,0.7625332449910455,1.2100506180006827,0.0794571602357417,0.6776184309761055,8.026635684478084,39.18473311172992,-0.004270568938919,1.0426551210028985,0.0055028542519728,0.00866445576875,-0.0004435051512964,-0.0054628949050178,-5.536642308160397e-05,-3.150796090111831e-05,-0.0005704969907712,-2.142519588575308e-06,-4.565548345628091e-05,-7.350622903048828e-06,0.0157371723543447,1.02378384983053e-35,0.0211766607179031,-0.9776604846132992,0.0001566766567457,0.000677324244286,6.118579302471293e-05,0.0001343701699518,1.4163954026865782e-05,0.0026942392350643,0.9940949036422628,0.9084050999074464,0.985719296847172,1.1412265913372253,0.6149736724932364,0.9223506561008988,0.6905406465784537,1.880909295697688,0.9944875231190282,277.570985445933,12562077
28111,5.413254892676233,9.29441116105071,46.29493880585084,1.1390804962690997,0.6684983923887939,0.9644791934397684,0.5487853870032107,0.8445499815513112,8.098304810636893,29.6918738711318,0.0109842338304406,1.6925756615724712,-0.0002873714226929,0.0240707793132315,-0.0034957275006582,-0.0017311416992728,-5.891792626731263e-05,-2.257729500391154e-05,-0.0005069356106327,-9.154496901233328e-07,-5.426947184977715e-05,-6.476777722345218e-06,0.0749023663251066,1.0980485166869102e-44,4.548111299845923,-2.27356134992517,0.0002209448974277,0.0013163728387554,-0.0002446938037777,0.0001754486515758,8.679053210856966e-05,0.001873439909471,1.0466643586303368,0.8832612371540559,1.1159590054585318,0.5233523513389222,0.4467094892754621,0.8999272234369178,0.8173318884935749,-0.1653276748578017,0.9986534571665387,275.56609284821127,12572052
32139,1.9361252237444804,9.594452485217287,86.83881318446653,1.342894708282446,0.7107910867260148,1.1656305165325818,0.1938046511513205,0.7937010955276813,9.210691707588149,35.12663772020337,0.0012510615896923,2.0082696925137755,0.0039286538087419,0.0301917862398789,-0.0095454268458553,-0.0026755072378861,-4.725302853395062e-05,-1.8045598584113975e-05,-0.00053488199651,-1.469059092037849e-06,-3.532526228856662e-05,-6.8656441098536896e-06,0.0730636847919996,2.9921811731998448e-43,0.2339414354860838,-1.2686436760089397,0.0002260400771326,0.0015286841626606,-6.860535936021639e-05,0.000239775658517,4.30519744556437e-05,0.0013538151229794,0.9480103653495856,1.079543297844188,1.0288368988123595,1.3609512204975198,0.6268209214891365,0.6999494988695836,1.6049587216480967,2.208265278833499,1.0596732101050566,275.42621214578105,14179224
40369,2.0407698033120365,9.381334886528393,83.21177498139006,1.509113159986476,0.7323367206172036,0.9621327671496696,0.2570540628163266,0.7334379596760102,8.606267943430323,33.0296207773847,0.0019013489582527,3.640023416644924,0.0019822514775045,0.0147515326206933,-0.0003720093512599,-0.0009475356099778,-7.904748273044406e-05,-1.612934156528601e-05,-0.0004696273949576,-1.2422295397348352e-06,-6.991659198639822e-05,-7.279563680849153e-06,0.0451462477259261,6.9189312485930415e-43,0.0815044494109323,-0.5594439708686753,0.0002887347728611,0.0012559115948609,-9.978353440701312e-05,5.3078943750536245e-05,0.0002092240821889,4.925924477545626e-05,0.9469095717056316,0.9983735767868308,1.0869218074448186,1.901350397004813,1.016819485952157,0.947241692476906,1.3799322327454178,0.3427896836813991,1.027110575179915,278.90636342603534,17462994
